Animal,ID,Frame,Width,Length,Height_Centroid,Height_average,Volume,Real
100,1712324338,0,121.82364302548172,328.97568299191965,1278.0664,1217.6439240799357,40213908.23666401,287
100,1712324338,105,121.3424904969401,328.2392420171604,1204.0778,1189.3099175308737,38689440.92719722,287
100,1712324338,120,119.36498649101419,332.9294219500584,1206.1792,1194.1044166434688,39219165.46023758,287
100,1712324338,135,117.71151175649729,317.79553174958266,1211.6208,1191.7716812723288,36267995.8044797,287
100,1712324338,15,121.59358535712317,343.685903115039,1204.8286,1188.347159326624,40085326.37840584,287
100,1712324338,30,121.41251994749142,348.0488471464889,1210.1553,1188.5351840232258,40887987.400766976,287
100,1712324338,45,120.33702672078948,348.0488471464889,1231.8312,1192.080281618201,40840670.448239714,287
100,1712324338,60,118.4229707446997,343.2273299141547,1247.439,1194.2733998659398,40048764.19110421,287
100,1712324338,75,119.50732195141852,343.4020966738555,1215.1638,1186.4382396747399,39745681.029103525,287
100,1712324338,90,118.94956914591998,346.930828840563,1201.48,1188.591468349031,39542060.96903542,287
100,1715776721,10,109.77249200050075,332.1806737304264,1186.3159,1176.4731171445128,36911844.050409056,273
100,1715776721,100,112.44554237496477,330.3649497147057,1192.5055,1176.5985484447335,36812238.78519003,273
100,1715776721,115,110.3675676999362,341.07037396994775,1193.1273,1181.8690535134685,37237148.26904934,273
100,1715776721,130,112.44554237496477,331.4528624103283,1194.9386,1179.898731934452,38391544.93968318,273
100,1715776721,145,112.53888216967503,336.34060117684277,1195.2449,1182.2176666947332,37313153.99621893,273
100,1715776721,25,112.28535078094559,330.8715762950937,1181.6069,1183.9658493693378,38863679.005547985,273
100,1715776721,40,111.36426715962351,331.02265783477725,1156.7745,1172.354297544472,36660691.23851315,273
100,1715776721,55,111.36426715962351,340.1543767173958,1182.2019,1181.744047163893,37141033.65831401,273
100,1715776721,70,111.16204388189342,339.4775397577872,1184.2216,1178.7849357907091,36949013.81235983,273
100,1715776721,85,111.36426715962351,327.11618730964693,1173.7303,1173.8899281669214,35757861.1018923,273
101,1715775867,10,137.53908535394584,328.6715685908959,1351.3052,1318.726652713259,46225325.35755768,357
101,1715775867,100,139.2300254973761,378.6990889875496,1365.6259,1316.6748637013238,52310175.65998954,357
101,1715775867,115,135.83077707206124,367.2955213448702,1348.8378,1323.4904557261598,52145523.95561039,357
101,1715775867,130,137.46272221951665,374.0655022853618,1387.0695,1320.4355797072058,53026052.00988192,357
101,1715775867,145,141.8767070381886,364.6422904710862,1382.9648,1318.4299550293906,52262563.41736511,357
101,1715775867,25,133.9589489358587,363.8145131794497,1406.2977,1336.1720978592418,51339740.51604545,357
101,1715775867,40,141.12760183606892,344.37189200049414,1392.8226,1329.3441607339087,49903579.79395141,357
101,1715775867,55,137.93114224133723,346.7174642269985,1385.3441,1329.8726069172592,49662762.63271804,357
101,1715775867,70,138.75518008348374,363.4969050762331,1361.2278,1328.6994106289246,50789534.971290305,357
101,1715775867,85,141.23030836190935,362.0662922725616,1409.58,1329.9318791542623,51493632.42897372,357
103,1712324719,100,145.34441853748632,360.0999861149678,1360.0077,1275.147330305068,54300873.91371108,481
103,1712324719,105,144.01388821915754,344.91158287306035,1401.3204,1291.06777853467,52581317.41638144,481
103,1712324719,120,155.0,394.0,1391.087,1284.5522787864195,58954526.8349019,481
103,1712324719,135,155.08062419270823,403.5653602577902,1344.5543,1269.888519281972,60342562.659241036,481
103,1712324719,15,157.01273833673497,378.0476160485607,1318.1459,1275.4317329149958,60224610.996512905,481
103,1712324719,30,147.648230602334,411.3988332506547,1341.4224,1280.7585995217255,62200041.38577296,481
103,1712324719,45,146.81280598094978,393.0814165029937,1369.032,1296.5168457532243,58357519.7441992,481
103,1712324719,60,151.16216457830973,414.53226653663523,1364.6368,1275.6902284156872,60629729.48591263,481
103,1712324719,75,138.91724155050014,383.2140394087878,1350.8241,1272.9326175129843,55764632.10801103,481
103,1712324719,90,143.78456106272327,363.88597115030416,1378.6399,1285.0694914352166,55473879.806275815,481
107,1712323839,100,126.66885963013956,379.1160772111887,1237.9635,1208.0806138163946,46745471.271011606,340
107,1712323839,105,124.77980605851253,354.6110545372211,1231.4384,1203.379763621698,43325281.62967241,340
107,1712323839,110,127.4244874425634,373.37648560132976,1210.8667,1220.2114648554918,47624853.47330946,340
107,1712323839,113,128.08200498118384,355.62480228465506,1244.9562,1219.021022451623,46046081.081065394,340
107,1712323839,120,129.98846102635417,385.873036114212,1216.0516,1233.4120676799037,46613108.86175892,340
107,1712323839,130,126.15070352558483,374.4889851517665,1207.7975,1226.801390148032,45450537.90220417,340
107,1712323839,135,125.15989773086265,340.40123384030204,1251.6144,1233.9775292003715,44124568.48914644,340
107,1712323839,140,130.00384609695206,342.0,1263.2279,1255.036629582646,45223989.910381995,340
107,1712323839,142,127.01574705523721,348.0703951789063,1352.178,1248.2456979184233,46105203.098314755,340
107,1712323839,90,135.05924625881784,354.1412147717348,1357.6866,1236.371768331722,46836235.32794264,340
110,1712329481,0,136.31214179228496,391.8596687591108,1325.3477,1287.4581068331258,54359056.18670872,411
110,1712329481,105,128.65846260545786,422.89596829480416,1279.702,1263.1902454257581,54390445.58754334,411
110,1712329481,120,136.09188072769072,404.1781785302121,1280.4226,1270.1455979492664,55205608.26926511,411
110,1712329481,135,137.93114224133723,344.7448331737548,1271.241,1262.6624822723638,50003959.62294756,411
110,1712329481,15,132.00378782444085,351.0968527343986,1261.856,1272.1827188983073,47185257.04393843,411
110,1712329481,30,142.59382875847047,361.5093359790311,1352.1682,1266.155257836399,53548238.16441808,411
110,1712329481,45,127.47548783981962,401.61673271914356,1330.4978,1285.6979002881646,53848885.157769985,411
110,1712329481,60,129.46814279968643,384.252521136817,1395.6243,1284.4772422143606,53913363.287464276,411
110,1712329481,75,132.45754036671525,411.32590484918404,1326.1338,1283.9867511138127,55249949.9004264,411
110,1712329481,90,126.8897158953396,429.0419559903204,1286.653,1286.2032296769073,56254670.65637953,411
114,1715775906,10,137.03284277865654,398.06155302917665,1388.0848,1300.685433245422,58735052.10906399,377
114,1715775906,100,125.01599897613104,403.0607894598531,1356.2767,1316.377005542774,57566482.82939036,377
114,1715775906,115,127.1416532848303,410.3522876748709,1351.4572,1324.549609703341,57779503.07447991,377
114,1715775906,130,128.39003076563228,424.20867506452527,1340.7079,1330.8359321144667,59604148.89161074,377
114,1715775906,145,124.67958934805648,382.890323722081,1380.0643,1346.417159410988,54117891.30536518,377
114,1715775906,25,123.01625908797584,368.06657006579667,1373.2814,1317.0622520721608,50251193.16556134,377
114,1715775906,40,143.75326083258076,361.04985805287333,1399.7649,1322.4540306365698,54116141.38767873,377
114,1715775906,55,133.09019498069722,394.0583713106473,1417.9054,1327.197491415251,57492868.13061815,377
114,1715775906,70,138.13037319865606,385.2920969861697,1395.025,1303.1726708666115,55624622.283271424,377
114,1715775906,85,123.10158406779338,427.29966065982313,1385.3472,1313.1698611380903,58689500.603844345,377
115,1715776396,10,131.0,382.0,1357.8218,1332.3342013115785,55699563.62003206,396
115,1715776396,100,133.37541002748594,377.1166928153672,1341.966,1332.3910058460694,55334198.472786784,396
115,1715776396,115,135.2368293032634,378.7611384500791,1350.3416,1333.5630381597541,56284361.58856985,396
115,1715776396,130,138.0905500025255,380.2578072834271,1337.9867,1325.2520781298479,56699584.91070862,396
115,1715776396,145,132.30646242719968,390.8657058376956,1311.1315,1323.3518201413701,55972488.58469964,396
115,1715776396,25,134.0,394.0,1324.6422,1332.304365887503,57307739.99428533,396
115,1715776396,40,132.0,373.0,1344.4734,1330.6842365507637,55099642.182856895,396
115,1715776396,55,135.0,370.0,1326.2633,1322.260603350112,54828858.17851604,396
115,1715776396,70,135.00370365289984,362.0,1381.9137,1318.5561862067543,54048936.628800325,396
115,1715776396,85,132.13629327327143,389.3712881042977,1349.8442,1326.4134961150683,56453484.808155365,396
117,1712327099,100,135.6244815658294,360.80049889100763,1454.8096,1402.1340067867939,53630223.62558769,427
117,1712327099,105,139.48835076808385,401.756144943671,1456.8348,1387.2861833907464,60729839.96411324,427
117,1712327099,120,134.5362404707371,388.5794642026261,1431.9799,1385.5141389680998,58542128.91381906,427
117,1712327099,135,136.06616037795732,409.0672316380279,1425.1387,1359.9683113286114,62014554.99658419,427
117,1712327099,15,145.41664278891878,407.1817775883395,1423.9324,1357.162221726861,62994041.68367408,427
117,1712327099,30,133.30416347586447,400.9102143872116,1484.2957,1386.0159643637403,60069931.895524524,427
117,1712327099,45,136.0588108135596,322.1257518423512,1422.9747,1356.357608766053,52440854.22772146,427
